path,bytes,reason
datasets/genvideo/fake/HotShot/hotshot_661.mp4,63969,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_429.mp4,52919,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_431.mp4,63349,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_659.mp4,99551,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_46.mp4,247904,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_381.mp4,247398,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_653.mp4,81802,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_88.mp4,106717,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_244.mp4,77277,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_248.mp4,199991,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_47.mp4,93776,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_289.mp4,408208,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_101.mp4,182169,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_208.mp4,37139,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_368.mp4,248115,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_627.mp4,423590,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_650.mp4,250179,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_83.mp4,113223,P00-P11固定评测池之外的fake；不是按分数筛选
datasets/genvideo/fake/HotShot/hotshot_682.mp4,160517,P00-P11固定评测池之外的fake；不是按分数筛选
