dataset,category,analysis_note,subset,source_model,filename,global_score,patch_score,alpha_score,alpha_minus_global_score,patch_minus_global_score,alpha_minus_patch_score
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,267841ab-d2a2-5e99-a71f-d4b2503b16a5.mp4,0.0671650576877796,0.7512956261634827,0.3408172850780608,0.2736522273902812,0.6841305684757031,-0.41047834108542186
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,gimdonghun_320759929%2Fmd.mp4,0.0510948905109489,0.6787396669387817,0.302152801082082,0.2510579105711331,0.6276447764278328,-0.37658686585669976
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,antoinemg_733077046%2Fmd.mp4,0.1101365669884624,0.6960541605949402,0.3445036044310535,0.23436703744259108,0.5859175936064778,-0.3515505561638867
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,callumhall0504_276528656%2Fmd.mp4,0.1378914527902048,0.6958186030387878,0.361062312889638,0.22317086009943324,0.5579271502485831,-0.3347562901491498
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,johnwickerson_618482429%2Fmd.mp4,0.263612550035319,0.7845700979232788,0.471995569190503,0.20838301915518398,0.5209575478879598,-0.3125745287327758
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,226a982a-267e-5578-8375-b71dea1a085f.mp4,0.057305156581116,0.5732626914978027,0.2636881705477907,0.2063830139666747,0.5159575349166867,-0.30957452095001203
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,chasexcx_403885798%2Fmd.mp4,0.0605574523192842,0.5666666626930237,0.26300113646878,0.2024436841494958,0.5061092103737395,-0.3036655262242437
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,74bb3761-ef8b-5875-9c51-1c730b2c3cef.mp4,0.0276665881798916,0.5166666507720947,0.2232666132167728,0.1956000250368812,0.48900006259220313,-0.29340003755532196
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,raqibyousuf_172895658%2Fmd.mp4,0.1514892865552154,0.6373380422592163,0.3458287888368158,0.19433950228160038,0.4858487557040009,-0.2915092534224005
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,kanon0707_322281649%2Fmd.mp4,0.4021662349894043,0.8851001262664795,0.5953397915002344,0.19317355651083012,0.4829338912770752,-0.2897603347662451
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,e237197d-f25a-5d4a-a654-7f95f219d6de.mp4,0.065943607252178,0.5448763370513916,0.2575166991718634,0.19157309191968536,0.4789327297992136,-0.28735963787952823
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,1395a33b-8814-514c-94ea-23096918fe71.mp4,0.0464739816340946,0.5245583057403564,0.2377077112765993,0.19123372964250468,0.47808432410626184,-0.28685059446375716
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,0824813a-5d4e-5cd3-9f88-bf7ac0fec256.mp4,0.2303243465975983,0.7005889415740967,0.4184301845881976,0.1881058379905993,0.4702645949764984,-0.2821587569858991
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,yasgf701177_900651029%2Fmd.mp4,0.0507122674829291,0.5189045667648315,0.23798918719569,0.18727691971276092,0.4681922992819024,-0.28091537956914153
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,ashes1881_697273547%2Fmd.mp4,0.1594507887920885,0.6130741834640503,0.3409001466608732,0.18144935786878472,0.4536233946719618,-0.2721740368031771
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,harusunshine_450175492%2Fmd.mp4,0.1115787614786908,0.5559481978416443,0.2893265360238722,0.17774777454518143,0.4443694363629535,-0.2666216618177721
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,joseantonio71_614690824%2Fmd.mp4,0.0367759595008241,0.4787396788597107,0.2135614472443787,0.1767854877435546,0.44196371935888656,-0.265178231615332
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,13907fcc-2fee-5e7c-a75f-bad2e74114d9.mp4,0.1687073228161054,0.6084216833114624,0.3445930670142482,0.1758857441981428,0.439714360495357,-0.2638286162972142
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,VEO3,db33af0f-e352-5b65-a3d5-1062f5249081.mp4,0.2728838003296444,0.7100117802619934,0.447734992302584,0.17485119197293963,0.43712797993234903,-0.2622767879594094
comgenvid,generated_score_increased_by_alpha,生成视频被 Alpha-STALLED 打得更像真实，可能削弱检测。,annotated,Sora,trecording_547987669%2Fmd.mp4,0.042912644219449,0.4769140183925628,0.2165131938886945,0.17360054966924549,0.4340013741731138,-0.2604008245038683
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,jjl2ZMdFCsw_130_142.mp4,0.9317017894984696,0.345641940832138,0.697277850031937,-0.23442393946653262,-0.5860598486663315,0.351635909199799
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,_1vy2HIN60A_32_40.mp4,0.7331057216858958,0.1858657300472259,0.5142097250304278,-0.218895996655468,-0.5472399916386699,0.32834399498320194
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,IY1Fn796MoY_7_10.mp4,0.9350276665881798,0.3991754949092865,0.7206867979166225,-0.21434086867155733,-0.5358521716788933,0.321511303007336
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,FeTaKOPVaJg_60_70.mp4,0.6296944902283965,0.1212014108896255,0.4262972584928881,-0.20339723173550844,-0.508493079338771,0.3050958476032626
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,-8y1Q0rA3n8_108_115.mp4,0.7422739580880622,0.2782096564769745,0.5566482374436271,-0.18562572064443505,-0.4640643016110877,0.27843858096665264
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,Z10_CDPQKKs_1_6.mp4,0.7833323522486462,0.3648409843444824,0.6159358050869806,-0.16739654716166552,-0.41849136790416375,0.2510948207424982
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,SZP3Jpbbwj0_52_59.mp4,0.5990846479868143,0.1819787919521331,0.4322423055729417,-0.16684234241387258,-0.4171058560346812,0.25026351362080856
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,FeTaKOPVaJg_15_25.mp4,0.7060572168589593,0.292815089225769,0.5407603658056832,-0.16529685105327607,-0.4132421276331903,0.24794527657991422
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,jjl2ZMdFCsw_17_35.mp4,0.8987226277372262,0.4992344081401825,0.7389273398984088,-0.15979528783881747,-0.3994882195970437,0.23969293175822626
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,zpgW7m7_LZw_2_15.mp4,0.6367877325170709,0.2416372150182724,0.4787275255175515,-0.1580602069995194,-0.3951505174987985,0.2370903104992791
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,5dZ8PXABC30_14_20.mp4,0.488079821050153,0.0987632498145103,0.3323531925558959,-0.1557266284942571,-0.3893165712356427,0.23358994274138561
comgenvid,real_score_decreased_by_alpha,真实视频被 Alpha-STALLED 打得更像生成，可能削弱真实召回。,real,MSVD,5P6UU6m3cqk_57_75.mp4,0.5797621850718154,0.1916372179985046,0.4245121982424911,-0.15524998682932434,-0.3881249670733108,0.23287498024398648
